"TeamName","assocID","date","assigned","Group","OtherGroupName","Head Count"
"NF_Part_GP",4,2019-10-16,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",9,2019-10-16,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",11,2019-10-17,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",10,2019-10-18,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",17,2019-10-18,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",8,2019-10-21,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",14,2019-10-21,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",15,2019-10-21,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",2,2019-10-22,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",6,2019-10-22,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",12,2019-10-22,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",1,2019-10-23,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",7,2019-10-23,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",16,2019-10-24,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",11,2019-10-25,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",13,2019-10-25,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",8,2019-10-28,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",15,2019-10-28,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",17,2019-10-28,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",2,2019-10-29,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",5,2019-10-29,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",9,2019-10-29,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",6,2019-10-30,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",14,2019-10-30,1,"Non Financial Partials GP","Partials Non Financial GP",17
"NF_Part_GP",10,2019-10-31,1,"Non Financial Partials GP","Partials Non Financial GP",17
