"assocID","date","WOY","Month","ReqPer","assigned","Team","ProgramName"
7,2019-06-06,23,"6_June",1,1,"Non Financial Partials GP","NF_Part_GP"
10,2019-06-07,23,"6_June",2,1,"Non Financial Partials GP","NF_Part_GP"
13,2019-06-07,23,"6_June",2,1,"Non Financial Partials GP","NF_Part_GP"
8,2019-06-10,23,"6_June",2,1,"Non Financial Partials GP","NF_Part_GP"
14,2019-06-10,23,"6_June",2,1,"Non Financial Partials GP","NF_Part_GP"
4,2019-06-11,24,"6_June",2,1,"Non Financial Partials GP","NF_Part_GP"
11,2019-06-11,24,"6_June",2,1,"Non Financial Partials GP","NF_Part_GP"
12,2019-06-12,24,"6_June",2,1,"Non Financial Partials GP","NF_Part_GP"
15,2019-06-12,24,"6_June",2,1,"Non Financial Partials GP","NF_Part_GP"
2,2019-06-13,24,"6_June",1,1,"Non Financial Partials GP","NF_Part_GP"
3,2019-06-14,24,"6_June",2,1,"Non Financial Partials GP","NF_Part_GP"
5,2019-06-14,24,"6_June",2,1,"Non Financial Partials GP","NF_Part_GP"
7,2019-06-17,24,"6_June",2,1,"Non Financial Partials GP","NF_Part_GP"
14,2019-06-17,24,"6_June",2,1,"Non Financial Partials GP","NF_Part_GP"
6,2019-06-18,25,"6_June",2,1,"Non Financial Partials GP","NF_Part_GP"
9,2019-06-18,25,"6_June",2,1,"Non Financial Partials GP","NF_Part_GP"
8,2019-06-19,25,"6_June",2,1,"Non Financial Partials GP","NF_Part_GP"
10,2019-06-19,25,"6_June",2,1,"Non Financial Partials GP","NF_Part_GP"
13,2019-06-20,25,"6_June",1,1,"Non Financial Partials GP","NF_Part_GP"
12,2019-06-21,25,"6_June",2,1,"Non Financial Partials GP","NF_Part_GP"
15,2019-06-21,25,"6_June",2,1,"Non Financial Partials GP","NF_Part_GP"
2,2019-06-24,25,"6_June",2,1,"Non Financial Partials GP","NF_Part_GP"
7,2019-06-24,25,"6_June",2,1,"Non Financial Partials GP","NF_Part_GP"
4,2019-06-25,26,"6_June",2,1,"Non Financial Partials GP","NF_Part_GP"
5,2019-06-25,26,"6_June",2,1,"Non Financial Partials GP","NF_Part_GP"
3,2019-06-26,26,"6_June",2,1,"Non Financial Partials GP","NF_Part_GP"
10,2019-06-26,26,"6_June",2,1,"Non Financial Partials GP","NF_Part_GP"
6,2019-06-27,26,"6_June",1,1,"Non Financial Partials GP","NF_Part_GP"
11,2019-06-28,26,"6_June",2,1,"Non Financial Partials GP","NF_Part_GP"
12,2019-06-28,26,"6_June",2,1,"Non Financial Partials GP","NF_Part_GP"
7,2019-07-01,26,"7_July",2,1,"Non Financial Partials GP","NF_Part_GP"
13,2019-07-01,26,"7_July",2,1,"Non Financial Partials GP","NF_Part_GP"
1,2019-07-02,27,"7_July",2,1,"Non Financial Partials GP","NF_Part_GP"
4,2019-07-02,27,"7_July",2,1,"Non Financial Partials GP","NF_Part_GP"
8,2019-07-03,27,"7_July",2,1,"Non Financial Partials GP","NF_Part_GP"
10,2019-07-03,27,"7_July",2,1,"Non Financial Partials GP","NF_Part_GP"
5,2019-07-05,27,"7_July",2,1,"Non Financial Partials GP","NF_Part_GP"
